method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,E_redemptions,comprehensive_score,usage_rate,random_dirichlet,degree_exponent_succ,degree_exponent_dis,degree_exponent_tran
random,100,500,35.362,21.394955999999997,4.62546819251846,2.17192,217.192,35.422,57.1112,0.35422,"[10, 10, 10]",-0.5,0.8,0.0
degreeTopM,100,500,12.038,11.716556,3.42294551519594,1.5859199999999998,158.59199999999998,12.066,27.9112,0.12066,"[10, 10, 10]",-0.5,0.8,0.0
pageRank,100,500,13.594,11.053164,3.3246299042149037,1.6281199999999998,162.81199999999998,13.604,29.8802,0.13604,"[10, 10, 10]",-0.5,0.8,0.0
alpha_sort,100,500,63.118,22.344076,4.726952083531205,1.73184,173.184,63.132,80.4434,0.63132,"[10, 10, 10]",-0.5,0.8,0.0
ris_optimized,100,500,48.84,24.6504,4.964916917733871,2.1151400000000002,211.514,48.866,70.0044,0.48866,"[10, 10, 10]",-0.5,0.8,0.0
1hop_sort,100,500,67.056,22.672864,4.761603091396846,1.9195799999999998,191.95799999999997,68.128,86.7878,0.68128,"[10, 10, 10]",-0.5,0.8,0.0
