method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,E_redemptions,comprehensive_score,usage_rate,random_dirichlet,degree_exponent_succ,degree_exponent_dis,degree_exponent_tran
random,75,500,57.164,8.971835,2.995302,4.0172,301.28976,59.292,88.35711,0.79056,"[10, 10, 10]",0.1,0.1,0.1
degreeTopM,75,500,59.092,9.33147,3.054745,4.24788,318.59068,63.285,93.04764,0.8438,"[10, 10, 10]",0.1,0.1,0.1
pageRank,75,500,59.345,10.067254,3.172894,4.25225,318.91854,63.345,93.23659,0.8446,"[10, 10, 10]",0.1,0.1,0.1
alpha_sort,75,500,59.554,9.995354,3.161543,4.22972,317.2288,63.011,93.00554,0.84015,"[10, 10, 10]",0.1,0.1,0.1
ris_optimized,75,500,64.238,8.521356,2.919136,4.47019,335.264,66.728,99.0094,0.88971,"[10, 10, 10]",0.1,0.1,0.1
1hop_sort,75,500,61.942,8.383265,2.895387,4.33062,324.79674,64.674,95.78769,0.86232,"[10, 10, 10]",0.1,0.1,0.1
monterCarlo_CELF,75,500,65.377,8.248598,2.872037,4.54903,341.17725,66.926,100.26911,0.89235,"[10, 10, 10]",0.1,0.1,0.1
