method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,E_redemptions,comprehensive_score,usage_rate,random_dirichlet,degree_exponent_succ,degree_exponent_dis,degree_exponent_tran
random,208,500,49.456,32.656064,5.714548451102677,1.9300961538461536,401.46,52.216,90.982,0.2510384615384615,"[10, 10, 10]",-0.5,0.8,0.0
degreeTopM,208,500,40.594,27.305164,5.225434336014567,1.8137788461538464,377.266,43.232,79.6396,0.2078461538461538,"[10, 10, 10]",-0.5,0.8,0.0
pageRank,208,500,41.074,26.040524,5.102991671558949,1.8394326923076925,382.602,43.738,80.6662,0.2102788461538461,"[10, 10, 10]",-0.5,0.8,0.0
alpha_sort,208,500,59.818,34.300876,5.856694972422587,1.905317307692308,396.306,63.482,101.2806,0.305201923076923,"[10, 10, 10]",-0.5,0.8,0.0
ris_optimized,208,500,63.012688530764265,33.96091817651706,5.561934555530117,2.0272812198879895,403.98,66.67996963952429,102.176,0.3061442307692307,"[10, 10, 10]",-0.5,0.8,0.0
1hop_sort,208,500,58.524,35.581424000000005,5.965016680613727,1.8951826923076924,394.198,63.024,100.1938,0.303,"[10, 10, 10]",-0.5,0.8,0.0
