method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,E_redemptions,comprehensive_score,usage_rate,random_dirichlet,degree_exponent_succ,degree_exponent_dis,degree_exponent_tran
random,100,500,24.938,17.334156,4.163430796830902,1.97618,197.618,25.504,44.9828,0.25504,"[10, 10, 10]",-0.5,0.8,0.0
degreeTopM,100,500,17.098,12.340396,3.5128899783511582,1.75272,175.272,17.708,34.9302,0.17708,"[10, 10, 10]",-0.5,0.8,0.0
pageRank,100,500,17.95,13.4755,3.670899072434436,1.7793800000000002,177.93800000000002,18.428,35.9828,0.18428,"[10, 10, 10]",-0.5,0.8,0.0
alpha_sort,100,500,35.726,22.310924000000007,4.723444082446622,1.89136,189.136,36.664,55.1086,0.36664,"[10, 10, 10]",-0.5,0.8,0.0
ris_optimized,100,500,38.733765953293236,21.894868018211838,4.44538907183612,2.101521891880895,199.196,39.74530592027386,57.2426,0.379,"[10, 10, 10]",-0.5,0.8,0.0
1hop_sort,100,500,35.448,21.363296,4.622044569235567,1.90024,190.024,37.154,55.3034,0.37154,"[10, 10, 10]",-0.5,0.8,0.0
