method,seed_num,time_ms
random,8,0.2434253692626953
degreeTopM,8,0.42247772216796875
pageRank,8,19.941329956054688
alpha_sort,8,0.5137920379638672
ris_path_aware,8,2446.9103813171387
1hop_sort,8,71.09880447387695
random,20,0.3635883331298828
degreeTopM,20,0.5457401275634766
pageRank,20,14.068603515625
alpha_sort,20,0.3504753112792969
ris_path_aware,20,3788.443088531494
1hop_sort,20,0.49304962158203125
random,32,0.30517578125
degreeTopM,32,0.5271434783935547
pageRank,32,17.5015926361084
alpha_sort,32,0.5421638488769531
ris_path_aware,32,6034.937858581543
1hop_sort,32,0.4551410675048828
random,44,0.4184246063232422
degreeTopM,44,0.6039142608642578
pageRank,44,17.39025115966797
alpha_sort,44,0.8361339569091797
ris_path_aware,44,7260.762691497803
1hop_sort,44,0.5362033843994141
random,56,0.5092620849609375
degreeTopM,56,0.6339550018310547
pageRank,56,19.703388214111328
alpha_sort,56,0.5712509155273438
ris_path_aware,56,8929.902076721191
1hop_sort,56,0.5197525024414062
random,68,0.2906322479248047
degreeTopM,68,0.34928321838378906
pageRank,68,11.59214973449707
alpha_sort,68,0.4093647003173828
ris_path_aware,68,12214.641094207764
1hop_sort,68,8.423566818237305
random,80,0.3752708435058594
degreeTopM,80,0.4477500915527344
pageRank,80,17.952442169189453
alpha_sort,80,0.5924701690673828
ris_path_aware,80,17616.48654937744
1hop_sort,80,0.5023479461669922
random,92,0.5805492401123047
degreeTopM,92,0.6556510925292969
pageRank,92,15.311241149902344
alpha_sort,92,0.49757957458496094
ris_path_aware,92,16894.070386886597
1hop_sort,92,0.4611015319824219
random,104,0.4100799560546875
degreeTopM,104,0.47898292541503906
pageRank,104,18.13983917236328
alpha_sort,104,0.6055831909179688
ris_path_aware,104,18012.025833129883
1hop_sort,104,8.476018905639648
random,116,0.43892860412597656
degreeTopM,116,0.5311965942382812
pageRank,116,18.34893226623535
alpha_sort,116,0.5781650543212891
ris_path_aware,116,19501.99031829834
1hop_sort,116,0.64849853515625
random,128,0.45108795166015625
degreeTopM,128,0.5054473876953125
pageRank,128,18.16272735595703
alpha_sort,128,0.6105899810791016
ris_path_aware,128,29602.478981018066
1hop_sort,128,0.5278587341308594
random,140,0.46372413635253906
degreeTopM,140,0.5106925964355469
pageRank,140,19.932985305786133
alpha_sort,140,1.0862350463867188
ris_path_aware,140,24558.140754699707
1hop_sort,140,60.78314781188965
random,152,0.47135353088378906
degreeTopM,152,0.5321502685546875
pageRank,152,19.102811813354492
alpha_sort,152,0.5819797515869141
ris_path_aware,152,26533.937215805054
1hop_sort,152,0.6177425384521484
random,164,0.5984306335449219
degreeTopM,164,0.5040168762207031
pageRank,164,17.14777946472168
alpha_sort,164,0.8459091186523438
ris_path_aware,164,39093.23763847351
1hop_sort,164,0.5056858062744141
random,176,0.4150867462158203
degreeTopM,176,0.4711151123046875
pageRank,176,12.264490127563477
alpha_sort,176,0.4024505615234375
ris_path_aware,176,33209.73563194275
1hop_sort,176,0.5872249603271484
random,188,0.5214214324951172
degreeTopM,188,0.5123615264892578
pageRank,188,14.252662658691406
alpha_sort,188,0.5030632019042969
ris_path_aware,188,34490.45133590698
1hop_sort,188,8.398771286010742
random,200,0.7734298706054688
degreeTopM,200,0.6434917449951172
pageRank,200,14.524459838867188
alpha_sort,200,0.40268898010253906
ris_path_aware,200,38537.33325004578
1hop_sort,200,0.5977153778076172
