method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,E_redemptions,comprehensive_score,usage_rate,random_dirichlet,degree_exponent_succ,degree_exponent_dis,degree_exponent_tran
random,50,500,42.57,4.793099999999999,2.1893149613520664,4.368720000000001,218.43600000000004,42.918,64.58760000000001,0.85836,"[10, 10, 10]",0.1,0.1,0.1
degreeTopM,50,500,44.17,5.085100000000001,2.2550166296504335,4.62484,231.242,45.864,68.1412,0.91728,"[10, 10, 10]",0.1,0.1,0.1
pageRank,50,500,44.118,4.688076000000001,2.1651965268769486,4.5956,229.78,45.514,67.79400000000001,0.9102800000000001,"[10, 10, 10]",0.1,0.1,0.1
alpha_sort,50,500,42.754,5.345484000000001,2.3120302766183665,4.748200000000001,237.41000000000003,47.34,68.788,0.9468000000000001,"[10, 10, 10]",0.1,0.1,0.1
ris_optimized,50,500,45.48,3.4655999999999993,1.8616122045152153,4.66932,233.466,46.408,69.29060000000001,0.92816,"[10, 10, 10]",0.1,0.1,0.1
1hop_sort,50,500,44.168,5.039776,2.244944542744876,4.60376,230.18800000000002,45.586,67.8958,0.91172,"[10, 10, 10]",0.1,0.1,0.1
