method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,E_redemptions,comprehensive_score,usage_rate,random_dirichlet,degree_exponent_succ,degree_exponent_dis,degree_exponent_tran
random,40,500,33.986,3.709804,1.926085148688915,4.3568500000000006,174.27400000000003,34.278,51.5594,0.85695,"[10, 10, 10]",0.1,0.1,0.1
degreeTopM,40,500,35.53,3.989100000000001,1.9972731410600806,4.6244000000000005,184.97600000000003,36.8,54.6626,0.9199999999999999,"[10, 10, 10]",0.1,0.1,0.1
pageRank,40,500,35.394,3.358764000000001,1.8326931003307676,4.57685,183.074,36.336,54.172399999999996,0.9084,"[10, 10, 10]",0.1,0.1,0.1
alpha_sort,40,500,34.716,4.067343999999999,2.016765727594556,4.735600000000001,189.42400000000004,37.816,55.20840000000001,0.9454,"[10, 10, 10]",0.1,0.1,0.1
ris_optimized,40,500,36.102,3.1235959999999996,1.7673697971845053,4.595899999999999,183.83599999999998,36.5,54.6846,0.9125,"[10, 10, 10]",0.1,0.1,0.1
1hop_sort,40,500,35.726,3.482924,1.8662593603248183,4.5745499999999995,182.98199999999997,36.358,54.340199999999996,0.9089499999999999,"[10, 10, 10]",0.1,0.1,0.1
