method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,E_redemptions,comprehensive_score,usage_rate,random_dirichlet,degree_exponent_succ,degree_exponent_dis,degree_exponent_tran
random,90,500,41.544,20.224064,4.497117,1.70547,153.4923,41.83,57.03623,0.46478,"[10, 10, 10]",-0.5,0.8,0.0
degreeTopM,90,500,27.228,17.844016,4.224218,1.48,133.2,27.574,40.721,0.30638,"[10, 10, 10]",-0.5,0.8,0.0
pageRank,90,500,28.544,17.912064,4.232265,1.49824,134.8416,28.846,42.17916,0.32051,"[10, 10, 10]",-0.5,0.8,0.0
alpha_sort,90,500,49.022,14.244239,3.774154,1.25532,112.9788,49.335,60.47638,0.54817,"[10, 10, 10]",-0.5,0.8,0.0
ris_optimized,90,500,56.934,20.417644,4.518589,1.66713,150.0417,57.288,72.11517,0.63653,"[10, 10, 10]",-0.5,0.8,0.0
1hop_sort,90,500,52.977,14.713199,3.835779,1.48207,133.38654,56.983,68.31825,0.63314,"[10, 10, 10]",-0.5,0.8,0.0
monterCarlo_CELF,90,500,57.113,20.901604,4.571827,1.68141,151.3269,57.487,72.43269,0.63874,"[10, 10, 10]",-0.5,0.8,0.0
