method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,E_redemptions,comprehensive_score,usage_rate,random_dirichlet,degree_exponent_succ,degree_exponent_dis,degree_exponent_tran
random,40,500,23.846,7.537497,2.74545,1.12054,44.8216,23.98,28.39516,0.5995,"[10, 10, 10]",-0.5,0.8,0.0
degreeTopM,40,500,12.852,8.278096,2.877168,1.0862,43.448,12.874,17.2078,0.32185,"[10, 10, 10]",-0.5,0.8,0.0
pageRank,40,500,13.428,7.756816,2.785106,1.08765,43.506,13.444,17.7866,0.3361,"[10, 10, 10]",-0.5,0.8,0.0
alpha_sort,40,500,31.19,3.650197,1.910549,0.95263,38.1052,31.193,35.00202,0.77982,"[10, 10, 10]",-0.5,0.8,0.0
ris_optimized,40,500,32.344,6.033664,2.456352,1.132,45.28,32.344,36.872,0.8086,"[10, 10, 10]",-0.5,0.8,0.0
1hop_sort,40,500,31.592,4.532898,2.12906,1.03706,41.48224,32.069,35.97877,0.80173,"[10, 10, 10]",-0.5,0.8,0.0
monterCarlo_CELF,40,500,32.309,6.133725,2.476636,1.14846,45.9384,32.503,36.99984,0.81258,"[10, 10, 10]",-0.5,0.8,0.0
