method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,log_alpha_slope,log_beta_slope,degree_power_h,E_redemptions,comprehensive_score
random,104,600,15.783333333333331,11.826388888888888,3.438951713660558,2.702259615384615,281.035,0.1,0.6,1.0,16.303333333333335,44.14683333333333
degreeTopM,104,600,11.595,9.944308333333334,3.153459740242982,2.326282051282051,241.9333333333333,0.1,0.6,1.0,12.013333333333334,35.9975
pageRank,104,600,12.918333333333331,11.324997222222224,3.365263321379506,2.463125,256.165,0.1,0.6,1.0,13.391666666666667,38.7715
alpha_sort,104,600,23.75,16.740833333333335,4.091556346102707,2.559759615384615,266.215,0.1,0.6,1.0,24.746666666666663,50.86983333333333
ris_path_aware,104,600,26.38349409750198,19.95329518841247,4.0139171087051055,3.235575086584589,301.55,0.1,0.6,1.0,28.704770309307953,54.93166666666667
1hop_sort,104,600,23.88833333333333,15.729197222222222,3.966005196948464,2.605144230769231,270.935,0.1,0.6,1.0,25.501666666666665,51.7885
