method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,E_redemptions,comprehensive_score,usage_rate,random_dirichlet,degree_exponent_succ,degree_exponent_dis,degree_exponent_tran
random,60,500,42.896,7.589184000000001,2.754847364192797,3.633666666666667,218.02,43.99,65.245,0.7331666666666667,"[10, 10, 10]",0.1,0.1,0.1
degreeTopM,60,500,46.974,8.813324,2.968724305151962,4.073966666666666,244.438,49.342,72.6018,0.8223666666666667,"[10, 10, 10]",0.1,0.1,0.1
pageRank,60,500,46.294,8.775564,2.9623578446906107,4.001266666666666,240.07599999999996,48.332,71.3206,0.8055333333333333,"[10, 10, 10]",0.1,0.1,0.1
alpha_sort,60,500,25.354,12.948683999999998,3.598427990109014,1.5792666666666668,94.75600000000001,25.91,35.1076,0.43183333333333335,"[10, 10, 10]",0.1,0.1,0.1
ris_optimized,60,500,51.348,6.938896000000002,2.634178429795522,4.377800000000001,262.668,52.882,78.3818,0.8813666666666666,"[10, 10, 10]",0.1,0.1,0.1
