method,seed_num,time_ms
random,8,0.1742839813232422
degreeTopM,8,0.29659271240234375
pageRank,8,12.876272201538086
alpha_sort,8,0.46253204345703125
ris_path_aware,8,2408.641576766968
1hop_sort,8,72.01910018920898
random,20,0.3299713134765625
degreeTopM,20,0.4162788391113281
pageRank,20,17.093420028686523
alpha_sort,20,0.8139610290527344
ris_path_aware,20,4237.476110458374
1hop_sort,20,0.4191398620605469
random,32,0.2999305725097656
degreeTopM,32,0.4165172576904297
pageRank,32,17.449378967285156
alpha_sort,32,0.5600452423095703
ris_path_aware,32,6547.257661819458
1hop_sort,32,0.6914138793945312
random,44,0.3285408020019531
degreeTopM,44,0.40793418884277344
pageRank,44,19.368410110473633
alpha_sort,44,0.5261898040771484
ris_path_aware,44,13238.436222076416
1hop_sort,44,0.48160552978515625
random,56,0.37026405334472656
degreeTopM,56,0.4496574401855469
pageRank,56,18.152713775634766
alpha_sort,56,0.5590915679931641
ris_path_aware,56,12751.140356063843
1hop_sort,56,0.6542205810546875
random,68,0.4489421844482422
degreeTopM,68,0.4436969757080078
pageRank,68,19.488096237182617
alpha_sort,68,0.5691051483154297
ris_path_aware,68,14509.712934494019
1hop_sort,68,0.5180835723876953
random,80,0.3960132598876953
degreeTopM,80,0.46706199645996094
pageRank,80,18.237829208374023
alpha_sort,80,0.5872249603271484
ris_path_aware,80,19403.920650482178
1hop_sort,80,0.4830360412597656
random,92,0.6079673767089844
degreeTopM,92,0.6520748138427734
pageRank,92,14.114618301391602
alpha_sort,92,0.3910064697265625
ris_path_aware,92,28901.261806488037
1hop_sort,92,0.5817413330078125
random,104,0.44536590576171875
degreeTopM,104,0.5066394805908203
pageRank,104,52.481651306152344
alpha_sort,104,0.3921985626220703
ris_path_aware,104,27296.115398406982
1hop_sort,104,0.48160552978515625
random,116,0.43320655822753906
degreeTopM,116,0.5052089691162109
pageRank,116,18.642425537109375
alpha_sort,116,0.5977153778076172
ris_path_aware,116,30874.812126159668
1hop_sort,116,0.5977153778076172
random,128,0.6306171417236328
degreeTopM,128,0.5156993865966797
pageRank,128,14.788389205932617
alpha_sort,128,0.3895759582519531
ris_path_aware,128,38350.48866271973
1hop_sort,128,0.5242824554443359
random,140,0.4780292510986328
degreeTopM,140,0.5433559417724609
pageRank,140,19.301652908325195
alpha_sort,140,0.7379055023193359
ris_path_aware,140,39134.83285903931
1hop_sort,140,0.5095005035400391
random,152,0.48160552978515625
degreeTopM,152,0.5190372467041016
pageRank,152,17.563819885253906
alpha_sort,152,0.6210803985595703
ris_path_aware,152,48733.20651054382
1hop_sort,152,0.39386749267578125
random,164,0.6515979766845703
degreeTopM,164,0.5340576171875
pageRank,164,18.625497817993164
alpha_sort,164,0.5888938903808594
ris_path_aware,164,44758.96382331848
1hop_sort,164,0.4966259002685547
random,176,0.6093978881835938
degreeTopM,176,0.7011890411376953
pageRank,176,15.179872512817383
alpha_sort,176,0.4372596740722656
ris_path_aware,176,48998.48246574402
1hop_sort,176,0.42366981506347656
random,188,0.4825592041015625
degreeTopM,188,0.5075931549072266
pageRank,188,18.65863800048828
alpha_sort,188,0.5729198455810547
ris_path_aware,188,47412.07027435303
1hop_sort,188,0.4215240478515625
random,200,0.49614906311035156
degreeTopM,200,0.5099773406982422
pageRank,200,19.098758697509766
alpha_sort,200,0.5755424499511719
ris_path_aware,200,54665.45796394348
1hop_sort,200,0.4627704620361328
