method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,E_redemptions,comprehensive_score,usage_rate,random_dirichlet,degree_exponent_succ,degree_exponent_dis,degree_exponent_tran
random,10,500,5.506,1.956582,1.398779,2.02463,20.24632,5.506,7.53035,0.55057,"[10, 10, 10]",-0.5,0.8,0.0
degreeTopM,10,500,1.434,1.123812,1.0601,1.11459,11.14588,1.434,2.54825,0.14337,"[10, 10, 10]",-0.5,0.8,0.0
pageRank,10,500,1.417,1.120749,1.058654,1.11723,11.17227,1.417,2.5344,0.14172,"[10, 10, 10]",-0.5,0.8,0.0
alpha_sort,10,500,7.207,1.558469,1.248387,1.56378,15.63776,7.207,8.77088,0.72071,"[10, 10, 10]",-0.5,0.8,0.0
ris_optimized,10,500,7.374,1.830124,1.352821,2.1166,21.166,7.376,9.4916,0.7376,"[10, 10, 10]",-0.5,0.8,0.0
1hop_sort,10,500,7.383,1.737196,1.318027,1.59539,15.95388,7.433,9.00328,0.74331,"[10, 10, 10]",-0.5,0.8,0.0
monterCarlo_CELF,10,500,7.487,1.782521,1.335111,2.0976,20.976,7.821,9.7516,0.7821,"[10, 10, 10]",-0.5,0.8,0.0
