method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,E_redemptions,comprehensive_score,usage_rate,random_dirichlet,degree_exponent_succ,degree_exponent_dis,degree_exponent_tran
random,100,500,50.593,19.571695,4.423991,1.06605,106.60494,51.001,61.45745,0.51001,"[10, 10, 10]",-0.5,0.8,0.0
degreeTopM,100,500,34.904,19.100029,4.370358,1.05827,105.827,35.422,45.74617,0.35422,"[10, 10, 10]",-0.5,0.8,0.0
pageRank,100,500,35.518,18.333007,4.281706,1.05945,105.94534,35.97,46.33806,0.3597,"[10, 10, 10]",-0.5,0.8,0.0
alpha_sort,100,500,66.928,18.65428,4.31906,1.05732,105.73194,67.471,77.77285,0.67471,"[10, 10, 10]",-0.5,0.8,0.0
ris_optimized,100,500,68.252,18.628496,4.316074,1.09992,109.992,68.512,79.3812,0.68512,"[10, 10, 10]",-0.5,0.8,0.0
1hop_sort,100,500,63.927,17.823265,4.221761,1.06269,106.26932,65.502,75.34145,0.65502,"[10, 10, 10]",-0.5,0.8,0.0
monterCarlo_CELF,100,500,69.463,17.735529,4.211357,1.11955,111.9548,71.931,81.89272,0.71931,"[10, 10, 10]",-0.5,0.8,0.0
