method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,E_redemptions,comprehensive_score,usage_rate,random_dirichlet,degree_exponent_succ,degree_exponent_dis,degree_exponent_tran
random,290,500,134.473,59.469186,7.711627,1.08112,313.5234,138.912,168.04474,0.47901,"[10, 10, 10]",-0.5,0.8,0.0
degreeTopM,290,500,123.415,52.410177,7.239487,1.07087,310.55132,127.7,156.6129,0.44035,"[10, 10, 10]",-0.5,0.8,0.0
pageRank,290,500,124.851,50.726794,7.122275,1.07386,311.4185,129.916,158.52516,0.44799,"[10, 10, 10]",-0.5,0.8,0.0
alpha_sort,290,500,152.672,55.907115,7.477106,1.08502,314.65442,157.788,186.69551,0.5441,"[10, 10, 10]",-0.5,0.8,0.0
ris_optimized,290,500,157.222,59.428716,7.709002,1.12234,325.48,162.496,192.407,0.56033,"[10, 10, 10]",-0.5,0.8,0.0
1hop_sort,290,500,150.569,56.479333,7.515273,1.08388,314.32656,156.337,184.88569,0.53909,"[10, 10, 10]",-0.5,0.8,0.0
monterCarlo_CELF,290,500,159.599,59.555802,7.717241,1.14134,330.98976,162.058,193.92739,0.55882,"[10, 10, 10]",-0.5,0.8,0.0
