method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,E_redemptions,comprehensive_score,usage_rate,random_dirichlet,degree_exponent_succ,degree_exponent_dis,degree_exponent_tran
random,125,500,86.06,25.3364,5.033527590070407,3.2756480000000003,409.456,86.766,127.35860000000002,0.6941280000000001,"[10, 10, 10]",-0.5,0.8,0.0
degreeTopM,125,500,44.48,29.2736,5.4105082940514935,2.292272,286.534,44.754,73.2704,0.35803199999999996,"[10, 10, 10]",-0.5,0.8,0.0
pageRank,125,500,44.242,28.239435999999998,5.314079035919582,2.285024,285.628,44.558,72.9628,0.356464,"[10, 10, 10]",-0.5,0.8,0.0
alpha_sort,125,500,85.308,27.805135999999997,5.273057557053592,2.107008,263.376,85.74,111.8616,0.68592,"[10, 10, 10]",-0.5,0.8,0.0
ris_optimized,125,500,89.104,22.397184000000003,4.73256632283162,3.3725600000000004,421.57000000000005,89.812,131.615,0.718496,"[10, 10, 10]",-0.5,0.8,0.0
1hop_sort,125,500,85.118,27.932076000000002,5.285080510266613,2.132688,266.586,86.244,112.3396,0.689952,"[10, 10, 10]",-0.5,0.8,0.0
