method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,E_redemptions,comprehensive_score,usage_rate,random_dirichlet,degree_exponent_succ,degree_exponent_dis,degree_exponent_tran
random,175,500,119.438,37.338156000000005,6.110495560918117,3.3136799999999997,579.894,120.796,178.1064,0.6902628571428572,"[10, 10, 10]",-0.5,0.8,0.0
degreeTopM,175,500,61.76,40.58240000000001,6.370431696517906,2.2776685714285714,398.592,62.286,101.8822,0.35592,"[10, 10, 10]",-0.5,0.8,0.0
pageRank,175,500,62.104,43.12118399999999,6.566672216579718,2.2763771428571427,398.366,62.606,102.19160000000001,0.3577485714285714,"[10, 10, 10]",-0.5,0.8,0.0
alpha_sort,175,500,118.886,35.14500399999999,5.92832219097444,2.131862857142857,373.07599999999996,119.858,156.6796,0.6849028571428571,"[10, 10, 10]",-0.5,0.8,0.0
ris_optimized,175,500,124.31,31.485899999999997,5.611229811725768,3.3202742857142855,581.048,125.7,183.1098,0.7182857142857143,"[10, 10, 10]",-0.5,0.8,0.0
1hop_sort,175,500,118.654,36.022284,6.001856712718157,2.1466285714285713,375.65999999999997,120.21,156.998,0.6869142857142857,"[10, 10, 10]",-0.5,0.8,0.0
