method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,E_redemptions,comprehensive_score,usage_rate,random_dirichlet,degree_exponent_succ,degree_exponent_dis,degree_exponent_tran
random,30,500,19.428,5.656816,2.3784061890265926,3.158866666666667,94.766,19.54,28.960600000000003,0.6513333333333333,"[10, 10, 10]",0.1,0.1,0.1
degreeTopM,30,500,17.158,5.681035999999998,2.383492395624538,2.9578,88.73400000000001,17.388,26.146400000000007,0.5796,"[10, 10, 10]",0.1,0.1,0.1
pageRank,30,500,18.984,6.355743999999999,2.521060094484064,3.2008666666666667,96.026,19.17,28.6796,0.639,"[10, 10, 10]",0.1,0.1,0.1
alpha_sort,30,500,12.85,6.6755,2.583698898865733,1.6039333333333334,48.118,12.856,17.6648,0.4285333333333333,"[10, 10, 10]",0.1,0.1,0.1
ris_optimized,30,500,23.952,4.225696000000001,2.0556497756184053,3.9473999999999996,118.42199999999998,24.002,35.819199999999995,0.8000666666666666,"[10, 10, 10]",0.1,0.1,0.1
monterCarlo_CELF,30,500,26.208,3.112736000000001,1.7642947599536765,4.342333333333334,130.27000000000004,26.218,39.24000000000001,0.8739333333333333,"[10, 10, 10]",0.1,0.1,0.1
