method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,log_alpha_slope,log_beta_slope,degree_power_h,E_redemptions,comprehensive_score
random,68,600,37.01833333333333,14.081330555555551,3.752509900793808,6.005514705882353,408.375,0.1,0.6,5.0,39.905,79.29916666666668
degreeTopM,68,600,31.955,14.682975000000004,3.831837026805812,5.921740196078432,402.6783333333333,0.1,0.6,5.0,35.29833333333333,73.8945
pageRank,68,600,34.361666666666665,14.187530555555556,3.7666338494145615,5.939142156862745,403.8616666666667,0.1,0.6,5.0,37.11666666666667,76.12533333333333
alpha_sort,68,600,41.785,13.592108333333332,3.68674766336582,5.448504901960784,370.4983333333333,0.1,0.6,5.0,45.58166666666666,80.73316666666666
ris_path_aware,68,600,45.71691377072187,16.094574974147598,3.671510436984878,7.592624728099279,478.10333333333335,0.1,0.6,5.0,49.468268438545856,91.10366666666668
1hop_sort,68,600,41.88666666666666,12.013822222222222,3.466096106893492,5.520024509803921,375.3616666666666,0.1,0.6,5.0,48.11,82.53450000000001
