method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,log_alpha_slope,log_beta_slope,degree_power_h,E_redemptions,comprehensive_score
random,44,600,24.05333333333333,9.703822222222222,3.115095860839955,5.716401515151515,251.52166666666665,0.1,0.6,5.0,25.371666666666663,49.864666666666665
degreeTopM,44,600,21.41,9.908566666666667,3.147787582837614,5.268712121212121,231.82333333333327,0.1,0.6,5.0,22.848333333333333,45.3115
pageRank,44,600,22.37,8.673100000000002,2.945012733418992,5.412613636363637,238.15500000000003,0.1,0.6,5.0,23.716666666666665,46.85883333333334
alpha_sort,44,600,27.933333333333334,8.96888888888889,2.9948103260288272,4.957272727272727,218.12,0.1,0.6,5.0,29.455,50.50616666666667
ris_path_aware,44,600,32.34543607431137,10.67078316145831,2.95482609001312,7.705748745024307,312.6316666666668,0.1,0.6,5.0,34.43669292703101,61.17566666666668
1hop_sort,44,600,27.161666666666665,8.995530555555556,2.999255000088448,4.846893939393939,213.2633333333333,0.1,0.6,5.0,30.505,50.159666666666666
