method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,log_alpha_slope,log_beta_slope,degree_power_h,E_redemptions,comprehensive_score
random,104,600,53.41666666666666,20.55638888888889,4.533915403808157,6.059903846153846,630.23,0.1,0.6,5.0,60.18833333333333,119.8255
degreeTopM,104,600,48.82333333333333,20.09878888888889,4.483167283170336,5.72463141025641,595.3616666666666,0.1,0.6,5.0,57.528333333333336,112.712
pageRank,104,600,50.83166666666666,21.63333055555556,4.651164430070771,5.882291666666666,611.7583333333333,0.1,0.6,5.0,57.97,115.57666666666668
alpha_sort,104,600,58.19166666666667,21.008263888888887,4.583477270467138,5.43150641025641,564.8766666666667,0.1,0.6,5.0,66.24,118.7035
ris_path_aware,104,600,65.96768665187015,26.277693850308545,4.63350569223779,7.26531660188074,694.835,0.1,0.6,5.0,73.96687954428747,132.17600000000002
1hop_sort,104,600,56.681666666666665,19.50033055555556,4.415917861051716,5.3060256410256414,551.8266666666667,0.1,0.6,5.0,69.99833333333333,118.52266666666668
