method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,E_redemptions,comprehensive_score,usage_rate,random_dirichlet,degree_exponent_succ,degree_exponent_dis,degree_exponent_tran
random,100,500,80.498,14.733996,3.838488765126192,3.89426,389.426,84.032,121.2076,0.84032,"[10, 10, 10]",-0.5,0.8,0.0
degreeTopM,100,500,74.882,17.548076000000002,4.189042372667052,3.7642399999999996,376.424,79.558,114.86240000000001,0.7955800000000001,"[10, 10, 10]",-0.5,0.8,0.0
pageRank,100,500,75.958,16.336236,4.041810980241406,3.73244,373.24399999999997,79.94,115.2734,0.7994,"[10, 10, 10]",-0.5,0.8,0.0
alpha_sort,100,500,71.788,18.095056000000003,4.253828393341697,2.28492,228.49200000000002,73.034,95.2602,0.7303400000000001,"[10, 10, 10]",-0.5,0.8,0.0
ris_optimized,100,500,77.844,14.435664000000004,3.7994294308487957,3.31032,331.032,80.0,112.0252,0.8,"[10, 10, 10]",-0.5,0.8,0.0
1hop_sort,100,500,70.996,18.719983999999997,4.326659681555737,2.27628,227.628,72.72,94.6208,0.7272,"[10, 10, 10]",-0.5,0.8,0.0
