method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,E_redemptions,comprehensive_score,usage_rate,random_dirichlet,degree_exponent_succ,degree_exponent_dis,degree_exponent_tran
random,70,500,56.5,9.378,3.062352037241963,3.854285714285714,269.8,58.448,84.45400000000001,0.8349714285714286,"[10, 10, 10]",-0.5,0.8,0.0
degreeTopM,70,500,50.954,12.051884,3.47158234815192,3.641742857142857,254.922,53.348,77.6432,0.7621142857142857,"[10, 10, 10]",-0.5,0.8,0.0
pageRank,70,500,51.914,13.474604,3.6707770294584767,3.682,257.74,54.056,78.759,0.7722285714285714,"[10, 10, 10]",-0.5,0.8,0.0
alpha_sort,70,500,50.852,12.570096,3.5454331188163737,2.270828571428571,158.95799999999997,51.402,67.02279999999999,0.7343142857142857,"[10, 10, 10]",-0.5,0.8,0.0
ris_optimized,70,500,54.616,11.308544000000001,3.3628178660165347,3.2611999999999997,228.28399999999996,55.564,77.9184,0.7937714285714286,"[10, 10, 10]",-0.5,0.8,0.0
1hop_sort,70,500,50.258,12.975436000000002,3.602143250899387,2.2559428571428572,157.916,51.37,66.6056,0.7338571428571429,"[10, 10, 10]",-0.5,0.8,0.0
