method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,E_redemptions,comprehensive_score,usage_rate,random_dirichlet,degree_exponent_succ,degree_exponent_dis,degree_exponent_tran
random,90,500,26.436,17.593904,4.194509,1.46149,131.5341,26.472,39.60741,0.29413,"[10, 10, 10]",-0.5,0.8,0.0
degreeTopM,90,500,12.194,9.820364,3.133746,1.29344,116.4096,12.214,23.84496,0.13571,"[10, 10, 10]",-0.5,0.8,0.0
pageRank,90,500,12.524,10.481424,3.237503,1.29309,116.3781,12.54,24.16981,0.13933,"[10, 10, 10]",-0.5,0.8,0.0
alpha_sort,90,500,34.273,10.800839,3.286463,0.98363,88.5267,34.341,43.15967,0.38157,"[10, 10, 10]",-0.5,0.8,0.0
ris_optimized,90,500,37.806,19.672364,4.435354,1.45218,130.6962,37.868,50.90662,0.42076,"[10, 10, 10]",-0.5,0.8,0.0
1hop_sort,90,500,34.146,13.434101,3.665256,0.99407,89.46634,34.246,43.14236,0.38051,"[10, 10, 10]",-0.5,0.8,0.0
monterCarlo_CELF,90,500,37.925,20.138659,4.487612,1.46461,131.8149,38.0,51.14399,0.42222,"[10, 10, 10]",-0.5,0.8,0.0
