method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,E_redemptions,comprehensive_score,usage_rate,random_dirichlet,degree_exponent_succ,degree_exponent_dis,degree_exponent_tran
random,130,500,35.444,26.290864,5.127462,1.43094,186.0222,35.504,54.07622,0.27311,"[10, 10, 10]",-0.5,0.8,0.0
degreeTopM,130,500,19.434,15.569644,3.945839,1.26806,164.8478,19.498,35.95078,0.14998,"[10, 10, 10]",-0.5,0.8,0.0
pageRank,130,500,19.912,15.332256,3.915642,1.27317,165.5121,19.964,36.48921,0.15357,"[10, 10, 10]",-0.5,0.8,0.0
alpha_sort,130,500,48.273,15.420252,3.926863,0.99426,129.2538,48.385,61.25438,0.37219,"[10, 10, 10]",-0.5,0.8,0.0
ris_optimized,130,500,53.348,28.730896,5.360121,1.43511,186.5643,53.476,72.06843,0.41135,"[10, 10, 10]",-0.5,0.8,0.0
1hop_sort,130,500,48.229,15.875072,3.984353,1.0041,130.53332,48.396,61.36558,0.37228,"[10, 10, 10]",-0.5,0.8,0.0
monterCarlo_CELF,130,500,53.733,30.163589,5.492139,1.45395,189.0135,55.591,73.56335,0.42762,"[10, 10, 10]",-0.5,0.8,0.0
