method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,E_redemptions,comprehensive_score,usage_rate,random_dirichlet,degree_exponent_succ,degree_exponent_dis,degree_exponent_tran
random,125,500,73.297,27.385745,5.233139,2.76854,346.0669,73.737,108.12396,0.5899,"[10, 10, 10]",-0.5,0.8,0.0
degreeTopM,125,500,18.818,15.52485,3.940159,1.23662,154.57726,18.839,34.2864,0.15071,"[10, 10, 10]",-0.5,0.8,0.0
pageRank,125,500,18.884,15.13059,3.889806,1.24,155.00018,18.915,34.3995,0.15132,"[10, 10, 10]",-0.5,0.8,0.0
alpha_sort,125,500,79.804,27.611666,5.25468,1.90137,237.67134,80.155,103.74654,0.64124,"[10, 10, 10]",-0.5,0.8,0.0
ris_optimized,125,500,82.416,28.258944,5.315914,3.03432,379.29,83.048,120.661,0.66438,"[10, 10, 10]",-0.5,0.8,0.0
1hop_sort,125,500,80.227,24.823516,4.98232,1.95426,244.28286,81.367,105.22541,0.65094,"[10, 10, 10]",-0.5,0.8,0.0
monterCarlo_CELF,125,500,82.031,27.059788,5.201902,3.02588,378.235,83.056,120.36688,0.66445,"[10, 10, 10]",-0.5,0.8,0.0
