method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,log_alpha_slope,log_beta_slope,degree_power_h,E_redemptions,comprehensive_score
random,164,600,22.226666666666667,17.078622222222222,4.132628972242999,2.721910569105692,446.3933333333334,0.1,0.6,1.0,23.176666666666662,67.34100000000001
degreeTopM,164,600,18.921666666666667,14.43219722222222,3.798973179981957,2.551310975609756,418.415,0.1,0.6,1.0,20.061666666666667,61.33316666666667
pageRank,164,600,19.435,14.845775,3.8530215415956346,2.594878048780488,425.56,0.1,0.6,1.0,20.45,62.49850000000001
alpha_sort,164,600,29.275,22.419375,4.734910242021489,2.7091666666666665,444.3033333333333,0.1,0.6,1.0,30.706666666666667,74.42116666666666
ris_path_aware,164,600,31.70794390308705,22.64458521679924,4.357124115234217,3.1886255641849663,480.95833333333337,0.1,0.6,1.0,33.645900241223025,77.95
1hop_sort,164,600,29.72833333333333,22.47786388888889,4.741082565078242,2.706483739837398,443.8633333333333,0.1,0.6,1.0,31.596666666666668,75.04883333333333
