method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,log_alpha_slope,log_beta_slope,degree_power_h,E_redemptions,comprehensive_score
random,200,600,32.68333333333333,22.27638888888889,4.719786953760613,2.58225,516.4499999999999,0.1,0.6,1.0,34.91833333333334,85.44583333333333
degreeTopM,200,600,29.75,20.42083333333333,4.518941616499745,2.467858333333333,493.5716666666666,0.1,0.6,1.0,32.281666666666666,80.37299999999999
pageRank,200,600,29.875,20.979375,4.58032477014458,2.4758916666666666,495.1783333333333,0.1,0.6,1.0,32.346666666666664,80.62866666666667
alpha_sort,200,600,39.56,27.869733333333333,5.279179229135276,2.544083333333333,508.8166666666666,0.1,0.6,1.0,42.32333333333333,91.82333333333332
ris_path_aware,200,600,43.44922468732104,32.5111778207653,5.215029295752379,3.0217739412590174,560.2283333333334,0.1,0.6,1.0,46.65730502258716,96.96866666666668
1hop_sort,200,600,39.93833333333333,23.101197222222225,4.806370483246399,2.5358750000000003,507.17500000000007,0.1,0.6,1.0,43.785,92.57916666666668
