method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,E_redemptions,comprehensive_score,usage_rate,random_dirichlet,degree_exponent_succ,degree_exponent_dis,degree_exponent_tran
random,10,500,7.84,0.8744000000000001,0.9350935782048768,3.8788,38.788,7.918,11.7578,0.7918000000000001,"[10, 10, 10]",0.1,0.1,0.1
degreeTopM,10,500,8.77,1.0091000000000003,1.0045396955820114,4.3966,43.966,9.048,13.305599999999998,0.9048,"[10, 10, 10]",0.1,0.1,0.1
pageRank,10,500,8.852,0.8580959999999999,0.9263347127253733,4.4193999999999996,44.193999999999996,9.08,13.3854,0.908,"[10, 10, 10]",0.1,0.1,0.1
alpha_sort,10,500,4.12,2.3336000000000006,1.527612516314265,1.4928000000000001,14.928,4.234,5.6697999999999995,0.4234,"[10, 10, 10]",0.1,0.1,0.1
ris_optimized,10,500,8.874,0.950124,0.9747430430631449,4.474,44.74,9.176,13.499,0.9176,"[10, 10, 10]",0.1,0.1,0.1
monterCarlo_CELF,10,500,9.344,0.585664,0.7652868743157692,4.568,45.67999999999999,9.37,13.924999999999999,0.9369999999999999,"[10, 10, 10]",0.1,0.1,0.1
