method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,E_redemptions,comprehensive_score,usage_rate,random_dirichlet,degree_exponent_succ,degree_exponent_dis,degree_exponent_tran
random,236,500,69.532,43.472975999999996,6.593403976702777,2.9904322033898305,705.742,69.692,140.18619999999999,0.29530508474576267,"[10, 10, 10]",-0.5,0.8,0.0
degreeTopM,236,500,34.504,31.857984,5.644287731857759,2.3358050847457625,551.25,34.882,89.818,0.1478050847457627,"[10, 10, 10]",-0.5,0.8,0.0
pageRank,236,500,37.504,29.133984,5.397590573580031,2.3652033898305085,558.188,37.834,93.4878,0.16031355932203392,"[10, 10, 10]",-0.5,0.8,0.0
alpha_sort,236,500,123.974,60.30932400000001,7.765907802697635,2.319364406779661,547.37,124.324,178.886,0.5267966101694915,"[10, 10, 10]",-0.5,0.8,0.0
ris_path_aware,236,500,116.246,51.861484,7.201491789900201,3.844754237288136,907.3620000000001,116.84,207.2792,0.4950847457627119,"[10, 10, 10]",-0.5,0.8,0.0
1hop_sort,236,500,131.734,61.47524399999999,7.840615026896805,2.492627118644068,588.2600000000001,136.484,192.93500000000003,0.5783220338983052,"[10, 10, 10]",-0.5,0.8,0.0
