method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,log_alpha_slope,log_beta_slope,degree_power_h,E_redemptions,comprehensive_score
random,8,600,0.0883333333333333,0.0938638888888889,0.3063721411761991,1.588125,12.705,0.1,0.6,-0.5,0.0883333333333333,1.3588333333333336
degreeTopM,8,600,0.075,0.079375,0.2817356917396161,1.5233333333333334,12.186666666666667,0.1,0.6,-0.5,0.075,1.2936666666666667
pageRank,8,600,0.0833333333333333,0.0897222222222222,0.2995366792601904,1.5672916666666667,12.538333333333334,0.1,0.6,-0.5,0.0833333333333333,1.3371666666666668
alpha_sort,8,600,0.885,0.7717750000000001,0.8785072566575646,1.5879166666666666,12.703333333333331,0.1,0.6,-0.5,0.885,2.155333333333333
ris_path_aware,8,600,0.9352502898125765,0.7680458960325662,0.8374548080676089,1.6834542651120936,12.783333333333331,0.1,0.6,-0.5,0.9385998340786865,2.1766666666666667
1hop_sort,8,600,0.86,0.7204000000000002,0.8487638069569179,1.6322916666666667,13.058333333333334,0.1,0.6,-0.5,0.865,2.168333333333333
