method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,E_redemptions,comprehensive_score,usage_rate,random_dirichlet,degree_exponent_succ,degree_exponent_dis,degree_exponent_tran
random,200,500,133.272,34.950016000000005,5.9118538547565604,3.3655699999999995,673.1139999999999,135.312,201.6034,0.67656,"[10, 10, 10]",0.1,0.1,0.1
degreeTopM,200,500,149.668,29.553776000000006,5.436338473641979,3.86224,772.448,154.882,229.5198,0.77441,"[10, 10, 10]",0.1,0.1,0.1
pageRank,200,500,149.116,29.210544000000002,5.404677973755699,3.8433699999999997,768.674,154.212,228.5314,0.77106,"[10, 10, 10]",0.1,0.1,0.1
alpha_sort,200,500,86.206,50.339563999999996,7.0950379843944456,1.6569699999999998,331.39399999999995,86.734,119.6094,0.43367,"[10, 10, 10]",0.1,0.1,0.1
ris_optimized,200,500,157.472,30.725216,5.54303310471803,4.012589999999999,802.5179999999999,161.016,239.4958,0.8050799999999999,"[10, 10, 10]",0.1,0.1,0.1
