method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,E_redemptions,comprehensive_score,usage_rate,random_dirichlet,degree_exponent_succ,degree_exponent_dis,degree_exponent_tran
random,50,500,36.456,6.012064000000001,2.4519510598704866,3.6896,184.48,36.65,55.001,0.733,"[10, 10, 10]",0.1,0.1,0.1
degreeTopM,50,500,42.836,5.473103999999999,2.3394666058740823,4.436439999999999,221.82199999999997,44.396,65.7982,0.88792,"[10, 10, 10]",0.1,0.1,0.1
pageRank,50,500,42.168,5.987776,2.446993257040158,4.340120000000001,217.00600000000003,43.472,64.5206,0.86944,"[10, 10, 10]",0.1,0.1,0.1
alpha_sort,50,500,20.822,12.190316000000003,3.491463303544805,1.5580399999999999,77.90199999999999,21.098,28.7502,0.42196,"[10, 10, 10]",0.1,0.1,0.1
ris_optimized,50,500,44.118,5.068076000000001,2.251238770099698,4.48116,224.058,44.774,66.8518,0.89548,"[10, 10, 10]",0.1,0.1,0.1
monterCarlo_CELF,50,500,44.144,0.585664,0.7652868743157692,4.568,45.67999999999999,44.17,65.924999999999999,0.9369999999999999,"[10, 10, 10]",0.1,0.1,0.1
