method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,E_redemptions,comprehensive_score,usage_rate,random_dirichlet,degree_exponent_succ,degree_exponent_dis,degree_exponent_tran
random,30,500,22.547,4.098997,2.024598,3.73049,111.91472,22.933,33.93118,0.76442,"[10, 10, 10]",0.1,0.1,0.1
degreeTopM,30,500,23.16,4.543252,2.131491,3.89752,116.92574,23.784,35.16463,0.79281,"[10, 10, 10]",0.1,0.1,0.1
pageRank,30,500,22.966,3.924516,1.981039,3.84767,115.43,23.493,34.77256,0.78311,"[10, 10, 10]",0.1,0.1,0.1
alpha_sort,30,500,12.338,5.631851,2.373152,1.52969,45.8907,12.554,17.03514,0.41846,"[10, 10, 10]",0.1,0.1,0.1
ris_optimized,30,500,25.654,3.718284,1.928285,4.32,129.6,26.194,38.884,0.87313,"[10, 10, 10]",0.1,0.1,0.1
monterCarlo_CELF,30,500,28.017,3.791004,1.94705,4.3962,131.88588,28.918,41.6561,0.96394,"[10, 10, 10]",0.1,0.1,0.1
1hop_sort,30,500,11.16,5.8104,2.410477,1.3368,40.104,11.588,15.3844,0.38627,"[10, 10, 10]",0.1,0.1,0.1
