method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,E_redemptions,comprehensive_score,usage_rate,random_dirichlet,degree_exponent_succ,degree_exponent_dis,degree_exponent_tran
random,100,500,71.041,11.344766,3.368199,3.69252,369.25184,74.593,109.74211,0.74593,"[10, 10, 10]",0.1,0.1,0.1
degreeTopM,100,500,74.393,15.039688,3.878104,3.97149,397.14904,79.961,116.89198,0.79961,"[10, 10, 10]",0.1,0.1,0.1
pageRank,100,500,73.64,14.078946,3.752192,3.89416,389.4162,78.244,114.88389,0.78244,"[10, 10, 10]",0.1,0.1,0.1
alpha_sort,100,500,40.49,22.238582,4.71578,1.53248,153.24836,41.597,56.36845,0.41597,"[10, 10, 10]",0.1,0.1,0.1
ris_optimized,100,500,83.724,11.895824,3.449032,4.39024,439.024,88.298,129.9134,0.88298,"[10, 10, 10]",0.1,0.1,0.1
monterCarlo_CELF,100,500,84.771,11.325592,3.365352,4.46858,446.8585,89.139,131.64058,0.89139,"[10, 10, 10]",0.1,0.1,0.1
1hop_sort,100,500,41.378,23.647116,4.86283,1.56282,156.282,42.298,57.4662,0.42298,"[10, 10, 10]",0.1,0.1,0.1
