method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,E_redemptions,comprehensive_score,usage_rate,random_dirichlet,degree_exponent_succ,degree_exponent_dis,degree_exponent_tran
random,160,500,46.316,33.388144,5.778247485180952,3.0296,484.736,46.394,94.82860000000001,0.2899625,"[10, 10, 10]",-0.5,0.8,0.0
degreeTopM,160,500,23.948,20.601295999999998,4.538865056376979,2.3447375,375.158,24.108,61.543800000000005,0.150675,"[10, 10, 10]",-0.5,0.8,0.0
pageRank,160,500,25.792,19.256735999999997,4.38824976499743,2.4333374999999995,389.33399999999995,25.898,64.7784,0.1618625,"[10, 10, 10]",-0.5,0.8,0.0
alpha_sort,160,500,86.754,35.44548399999999,5.953611005095983,2.3819125,381.106,86.824,124.89959999999999,0.54265,"[10, 10, 10]",-0.5,0.8,0.0
ris_path_aware,160,500,81.066,40.857644,6.391998435544239,3.838375,614.14,81.614,142.75400000000002,0.5100875,"[10, 10, 10]",-0.5,0.8,0.0
1hop_sort,160,500,91.244,37.348464,6.111338969489419,2.5237249999999998,403.79599999999994,93.534,132.7686,0.5845875,"[10, 10, 10]",-0.5,0.8,0.0
