method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,log_alpha_slope,log_beta_slope,degree_power_h,E_redemptions,comprehensive_score
random,128,600,36.66166666666667,22.38719722222222,4.73151109289857,3.836953125,491.13,0.1,0.6,2.0,39.718333333333334,87.303
degreeTopM,128,600,29.63,18.5231,4.303847116243792,3.4559114583333335,442.3566666666667,0.1,0.6,2.0,32.39666666666667,75.24900000000001
pageRank,128,600,30.996666666666666,18.679988888888886,4.322035271592411,3.515885416666667,450.03333333333336,0.1,0.6,2.0,33.715,77.35916666666668
alpha_sort,128,600,42.85,24.5475,4.954543369474123,3.6498177083333334,467.1766666666667,0.1,0.6,2.0,47.11333333333334,91.69933333333334
ris_path_aware,128,600,43.413333333333334,25.20582222222222,5.020540032926958,4.320729166666666,553.0533333333333,0.1,0.6,2.0,48.01833333333333,101.02116666666666
1hop_sort,128,600,43.78,21.038266666666665,4.586749030268242,3.7011067708333334,473.7416666666667,0.1,0.6,2.0,51.02166666666667,94.775
