method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,log_alpha_slope,log_beta_slope,degree_power_h,E_redemptions,comprehensive_score
random,116,600,33.998333333333335,21.124997222222223,4.596193775530164,3.769870689655173,437.30500000000006,0.1,0.6,2.0,36.39833333333333,78.92883333333334
degreeTopM,116,600,28.863333333333333,16.69798888888889,4.086317277070992,3.400416666666666,394.44833333333327,0.1,0.6,2.0,31.345,69.54899999999999
pageRank,116,600,30.465,18.358774999999998,4.284714109482685,3.4960201149425285,405.5383333333333,0.1,0.6,2.0,32.82833333333333,72.2005
alpha_sort,116,600,42.485,23.78310833333333,4.876792832726579,3.5452586206896552,411.25,0.1,0.6,2.0,46.20666666666666,85.47083333333333
ris_path_aware,116,600,43.06666666666667,24.628888888888888,4.962750133634464,4.264669540229885,494.7016666666667,0.1,0.6,2.0,47.03,94.5185
1hop_sort,116,600,44.098333333333336,21.691997222222223,4.65746682459706,3.669755747126437,425.6916666666667,0.1,0.6,2.0,50.49333333333333,89.86500000000001
