method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,E_redemptions,comprehensive_score,usage_rate,random_dirichlet,degree_exponent_succ,degree_exponent_dis,degree_exponent_tran
random,50,500,30.47,10.434822,3.230297,1.11631,55.81574,30.623,36.12784,0.61246,"[10, 10, 10]",-0.5,0.8,0.0
degreeTopM,50,500,16.288,9.944124,3.15343,1.06502,53.25106,16.333,21.63566,0.32666,"[10, 10, 10]",-0.5,0.8,0.0
pageRank,50,500,16.31,9.939107,3.152635,1.06836,53.4179,16.354,21.67368,0.32708,"[10, 10, 10]",-0.5,0.8,0.0
alpha_sort,50,500,42.368,5.011531,2.238645,1.02863,51.43134,42.373,47.5137,0.84747,"[10, 10, 10]",-0.5,0.8,0.0
ris_optimized,50,500,40.62,7.0036,2.646432,1.13644,56.822,40.622,46.3032,0.81244,"[10, 10, 10]",-0.5,0.8,0.0
1hop_sort,50,500,39.689,6.158138,2.48156,1.07852,53.92618,40.499,45.4866,0.80999,"[10, 10, 10]",-0.5,0.8,0.0
monterCarlo_CELF,50,500,40.526,6.942798,2.634919,1.13429,56.7145,41.278,46.57302,0.82555,"[10, 10, 10]",-0.5,0.8,0.0
