method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,E_redemptions,comprehensive_score,usage_rate,random_dirichlet,degree_exponent_succ,degree_exponent_dis,degree_exponent_tran
random,20,500,12.728,3.87944,1.969629,1.07641,21.52818,12.734,14.88407,0.63671,"[10, 10, 10]",-0.5,0.8,0.0
degreeTopM,20,500,5.603,3.550791,1.884354,1.0475,20.95006,5.605,7.6987,0.28023,"[10, 10, 10]",-0.5,0.8,0.0
pageRank,20,500,5.576,3.752776,1.937208,1.03674,20.73472,5.581,7.65194,0.27907,"[10, 10, 10]",-0.5,0.8,0.0
alpha_sort,20,500,17.159,1.902406,1.379277,1.02267,20.45342,17.159,19.20464,0.85797,"[10, 10, 10]",-0.5,0.8,0.0
ris_optimized,20,500,16.396,2.895184,1.701524,1.1244,22.488,16.396,18.6448,0.8198,"[10, 10, 10]",-0.5,0.8,0.0
1hop_sort,20,500,16.715,2.587641,1.608614,1.05313,21.06258,16.734,18.831,0.83672,"[10, 10, 10]",-0.5,0.8,0.0
monterCarlo_CELF,20,500,16.681,2.794742,1.671748,1.12785,22.55696,17.075,19.13368,0.85375,"[10, 10, 10]",-0.5,0.8,0.0
