method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,E_redemptions,comprehensive_score,usage_rate,random_dirichlet,degree_exponent_succ,degree_exponent_dis,degree_exponent_tran
random,40,500,24.939,7.480061,2.73497,1.10454,44.18156,25.003,29.38887,0.62507,"[10, 10, 10]",-0.5,0.8,0.0
degreeTopM,40,500,12.79,7.154043,2.674704,1.04416,41.76626,12.821,16.98257,0.32054,"[10, 10, 10]",-0.5,0.8,0.0
pageRank,40,500,12.975,7.91732,2.813773,1.04828,41.93116,13.0,17.18045,0.325,"[10, 10, 10]",-0.5,0.8,0.0
alpha_sort,40,500,34.291,3.579274,1.891897,1.02126,40.85058,34.293,38.37747,0.85733,"[10, 10, 10]",-0.5,0.8,0.0
ris_optimized,40,500,32.21,5.7779,2.403726,1.1206,44.824,32.23,36.7024,0.80575,"[10, 10, 10]",-0.5,0.8,0.0
1hop_sort,40,500,31.882,4.921449,2.218434,1.06118,42.4472,32.509,36.43999,0.81271,"[10, 10, 10]",-0.5,0.8,0.0
monterCarlo_CELF,40,500,32.175,5.87372,2.423576,1.13689,45.47556,32.388,36.82892,0.8097,"[10, 10, 10]",-0.5,0.8,0.0
