method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,E_redemptions,comprehensive_score,usage_rate,random_dirichlet,degree_exponent_succ,degree_exponent_dis,degree_exponent_tran
random,70,500,44.019,13.541056,3.679817,1.10511,77.3575,44.259,51.87463,0.63227,"[10, 10, 10]",-0.5,0.8,0.0
degreeTopM,70,500,23.587,13.887819,3.726636,1.04793,73.35528,23.668,30.96279,0.33811,"[10, 10, 10]",-0.5,0.8,0.0
pageRank,70,500,23.821,12.881519,3.589083,1.04882,73.41736,23.885,31.19501,0.34122,"[10, 10, 10]",-0.5,0.8,0.0
alpha_sort,70,500,59.054,7.536233,2.74522,1.04366,73.05652,59.065,66.36507,0.84379,"[10, 10, 10]",-0.5,0.8,0.0
ris_optimized,70,500,55.628,11.989616,3.462602,1.1464,80.248,55.66,63.6688,0.79514,"[10, 10, 10]",-0.5,0.8,0.0
1hop_sort,70,500,55.181,9.103637,3.017223,1.06254,74.37766,56.163,63.10995,0.80233,"[10, 10, 10]",-0.5,0.8,0.0
monterCarlo_CELF,70,500,56.084,11.903804,3.450189,1.14644,80.2508,56.346,64.24019,0.80494,"[10, 10, 10]",-0.5,0.8,0.0
