method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,degree_exponent_tran,log_alpha_slope,log_beta_slope,E_redemptions,comprehensive_score,usage_rate,random_dirichlet,degree_exponent_succ,degree_exponent_dis
random,340,600,47.586666666666666,32.92915555555556,5.738393116156783,2.7105245098039217,921.5783333333334,0.0,0.1,0.6,52.44166666666667,142.17200000000005,0.1542401960784313,"[10, 10, 10]",-0.5,0.8
degreeTopM,340,600,46.09166666666667,30.983263888888885,5.566261212779085,2.663357843137255,905.5416666666669,0.0,0.1,0.6,50.90166666666666,139.05083333333334,0.1497107843137254,"[10, 10, 10]",-0.5,0.8
pageRank,340,600,46.11833333333333,30.32433055555556,5.506753177286554,2.6837401960784315,912.4716666666668,0.0,0.1,0.6,51.11,139.8613333333333,0.1503235294117647,"[10, 10, 10]",-0.5,0.8
alpha_sort,340,600,49.875,34.729375,5.893163411954568,2.709401960784314,921.1966666666668,0.0,0.1,0.6,55.17166666666667,144.64300000000003,0.1622696078431372,"[10, 10, 10]",-0.5,0.8
ris_path_aware,340,600,53.44549663996544,34.66134176615108,5.618718715152059,2.8495731617647064,936.0916666666668,0.0,0.1,0.6,58.59341887102462,146.75750000000002,0.1641078431372549,"[10, 10, 10]",-0.5,0.8
1hop_sort,340,600,50.37833333333333,33.15519722222223,5.758054986036711,2.699627450980392,917.8733333333332,0.0,0.1,0.6,55.98,144.9665,0.1646470588235294,"[10, 10, 10]",-0.5,0.8
