method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,degree_exponent_tran,log_alpha_slope,log_beta_slope,E_redemptions,comprehensive_score,usage_rate,random_dirichlet,degree_exponent_succ,degree_exponent_dis
random,316,600,45.76833333333333,32.44799722222222,5.696314354231359,2.6642932489451474,841.9166666666666,0.0,0.1,0.6,50.145,132.1483333333333,0.1586867088607595,"[10, 10, 10]",-0.5,0.8
degreeTopM,316,600,44.33833333333333,30.81719722222222,5.551323916168307,2.6084546413502108,824.2716666666666,0.0,0.1,0.6,48.553333333333335,128.873,0.1536497890295358,"[10, 10, 10]",-0.5,0.8
pageRank,316,600,44.29833333333333,30.612663888888893,5.532871215642823,2.620321729957806,828.0216666666666,0.0,0.1,0.6,48.81666666666667,129.35966666666667,0.1544831223628692,"[10, 10, 10]",-0.5,0.8
alpha_sort,316,600,50.73333333333333,33.37555555555555,5.777158086425847,2.668939873417721,843.3849999999999,0.0,0.1,0.6,56.01166666666666,137.711,0.1772521097046413,"[10, 10, 10]",-0.5,0.8
ris_path_aware,316,600,53.42748281512871,33.73868379211019,5.506958981345533,2.8730999902875154,864.7566666666668,0.0,0.1,0.6,59.77006674397688,140.0031666666667,0.1783122362869198,"[10, 10, 10]",-0.5,0.8
1hop_sort,316,600,50.39833333333333,31.176330555555555,5.58357686036071,2.635574894514768,832.8416666666666,0.0,0.1,0.6,56.20666666666666,136.58666666666664,0.1778691983122362,"[10, 10, 10]",-0.5,0.8
