method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,degree_exponent_tran,log_alpha_slope,log_beta_slope,E_redemptions,comprehensive_score,usage_rate,random_dirichlet,degree_exponent_succ,degree_exponent_dis
random,112,600,17.106666666666666,13.481955555555556,3.6717782552266898,2.677172619047619,299.84333333333336,0.0,0.1,0.6,17.751666666666665,47.413500000000006,0.1584970238095238,"[10, 10, 10]",-0.5,0.8
degreeTopM,112,600,12.53,9.295766666666667,3.0488959750484548,2.3552976190476187,263.7933333333333,0.0,0.1,0.6,12.998333333333331,39.1435,0.1160565476190476,"[10, 10, 10]",-0.5,0.8
pageRank,112,600,13.755,9.708308333333331,3.1158158375188565,2.440580357142857,273.345,0.0,0.1,0.6,14.283333333333331,41.35366666666667,0.1275297619047619,"[10, 10, 10]",-0.5,0.8
alpha_sort,112,600,25.313333333333333,17.058488888888892,4.130192354950178,2.5771130952380954,288.63666666666666,0.0,0.1,0.6,26.488333333333333,54.7645,0.2365029761904762,"[10, 10, 10]",-0.5,0.8
ris_path_aware,112,600,26.250592776269634,17.084207371721977,3.943982406429093,3.004732559822366,324.42,0.0,0.1,0.6,28.185791677172208,58.282,0.2389434523809523,"[10, 10, 10]",-0.5,0.8
1hop_sort,112,600,25.226666666666667,17.761955555555552,4.214493511153571,2.5908630952380958,290.1766666666667,0.0,0.1,0.6,26.975,55.1185,0.2408482142857143,"[10, 10, 10]",-0.5,0.8
