method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,degree_exponent_tran,log_alpha_slope,log_beta_slope,E_redemptions,comprehensive_score,usage_rate,random_dirichlet,degree_exponent_succ,degree_exponent_dis
random,208,600,34.013333333333335,23.923155555555557,4.891130294273048,2.617940705128205,544.5316666666666,0.0,0.1,0.6,36.175,89.54733333333334,0.1739182692307692,"[10, 10, 10]",-0.5,0.8
degreeTopM,208,600,30.916666666666668,22.89305555555556,4.784668803120605,2.458886217948718,511.4483333333333,0.0,0.1,0.6,33.50333333333333,83.35483333333335,0.1610737179487179,"[10, 10, 10]",-0.5,0.8
pageRank,208,600,30.965,21.857108333333333,4.675158642584584,2.472171474358974,514.2116666666666,0.0,0.1,0.6,33.555,83.68116666666666,0.1613221153846153,"[10, 10, 10]",-0.5,0.8
alpha_sort,208,600,40.91,30.18523333333334,5.49410896627773,2.5384294871794872,527.9933333333333,0.0,0.1,0.6,43.69,95.09933333333332,0.2100480769230769,"[10, 10, 10]",-0.5,0.8
ris_path_aware,208,600,41.8224458658453,28.747698211470517,5.110087790069973,2.9335634068770022,579.075,0.0,0.1,0.6,46.15075251298079,99.90583333333332,0.2102323717948717,"[10, 10, 10]",-0.5,0.8
1hop_sort,208,600,41.17666666666667,24.90878888888889,4.990870554210847,2.5163541666666664,523.4016666666666,0.0,0.1,0.6,44.99,95.4235,0.2162980769230769,"[10, 10, 10]",-0.5,0.8
