method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,log_alpha_slope,log_beta_slope,degree_power_h,E_redemptions,comprehensive_score
random,200,600,58.095,30.35930833333333,5.509928160451217,3.787925,757.585,0.1,0.6,2.0,66.09666666666666,137.85433333333333
degreeTopM,200,600,53.336666666666666,27.369988888888887,5.231633481895391,3.5304,706.0799999999999,0.1,0.6,2.0,61.36,127.95633333333332
pageRank,200,600,55.99333333333333,28.64995555555556,5.352565324735005,3.618258333333333,723.6516666666666,0.1,0.6,2.0,64.83166666666666,132.77766666666668
alpha_sort,200,600,65.49166666666666,30.48659722222222,5.52146694477312,3.6321,726.4199999999998,0.1,0.6,2.0,75.54166666666667,143.15866666666665
ris_path_aware,200,600,70.76406141338872,41.12073291890322,5.806352842648587,4.429170043102974,810.4483333333333,0.1,0.6,2.0,83.62909555553509,150.50066666666666
1hop_sort,200,600,65.25333333333333,31.83582222222224,5.642324186203965,3.6555166666666654,731.1033333333334,0.1,0.6,2.0,78.475,144.9745
