method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,E_redemptions,comprehensive_score,usage_rate,random_dirichlet,degree_exponent_succ,degree_exponent_dis,degree_exponent_tran
random,292,500,84.532,59.524976,7.715243094031451,2.9905,873.226,84.868,172.0226,0.2906438356164383,"[10, 10, 10]",-0.5,0.8,0.0
degreeTopM,292,500,44.258,36.899436,6.074490595926543,2.371,692.332,44.64,113.6822,0.1528767123287671,"[10, 10, 10]",-0.5,0.8,0.0
pageRank,292,500,48.398,37.743596,6.143581691489094,2.423986301369863,707.804,48.816,119.3874,0.1671780821917808,"[10, 10, 10]",-0.5,0.8,0.0
alpha_sort,292,500,150.342,68.63303599999999,8.284505778862128,2.411650684931507,704.202,150.622,220.90220000000005,0.5158287671232877,"[10, 10, 10]",-0.5,0.8,0.0
ris_path_aware,292,500,173.5444461825268,99.55521790146913,8.30216236892534,4.500110966094006,1118.574,178.15235898270012,256.5404,0.4977945205479452,"[10, 10, 10]",-0.5,0.8,0.0
1hop_sort,292,500,159.844,62.28366399999999,7.891999999999999,2.600712328767123,759.4079999999999,166.992,239.3588,0.571890410958904,"[10, 10, 10]",-0.5,0.8,0.0
