method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,E_redemptions,comprehensive_score,usage_rate,random_dirichlet,degree_exponent_succ,degree_exponent_dis,degree_exponent_tran
random,136,500,38.528,28.629216,5.350627626736886,2.9377941176470586,399.54,38.592,78.51400000000001,0.2837647058823529,"[10, 10, 10]",-0.5,0.8,0.0
degreeTopM,136,500,19.014,14.649804,3.82750623774802,2.300088235294117,312.81199999999995,19.12,50.3482,0.1405882352941176,"[10, 10, 10]",-0.5,0.8,0.0
pageRank,136,500,21.142,15.641836,3.9549761061225137,2.332,317.152,21.226,52.89919999999999,0.1560735294117647,"[10, 10, 10]",-0.5,0.8,0.0
alpha_sort,136,500,74.41,33.1579,5.7582896766314215,2.2834117647058823,310.544,74.634,105.5764,0.5487794117647059,"[10, 10, 10]",-0.5,0.8,0.0
ris_path_aware,136,500,85.85908602581878,46.23747308188686,5.522713463506865,4.697199265644115,522.7280000000001,88.08096382535915,122.64780000000002,0.5179705882352942,"[10, 10, 10]",-0.5,0.8,0.0
1hop_sort,136,500,79.782,31.614476,5.622675164012234,2.4559852941176468,334.01399999999995,81.764,114.1744,0.6012058823529411,"[10, 10, 10]",-0.5,0.8,0.0
