method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,E_redemptions,comprehensive_score,usage_rate,random_dirichlet,degree_exponent_succ,degree_exponent_dis,degree_exponent_tran
random,30,500,18.56,5.0944,2.2570777567465417,3.1168666666666667,93.506,18.604,27.9326,0.6201333333333333,"[10, 10, 10]",0.1,0.1,0.1
degreeTopM,30,500,22.758,5.111435999999999,2.2608485132799143,3.8018,114.054,22.878,34.2234,0.7626000000000001,"[10, 10, 10]",0.1,0.1,0.1
pageRank,30,500,22.724,5.435823999999999,2.3314853634539503,3.7946000000000004,113.83800000000001,22.882,34.186800000000005,0.7627333333333334,"[10, 10, 10]",0.1,0.1,0.1
alpha_sort,30,500,13.026,8.129324,2.8511969416369682,1.6706666666666665,50.12,13.068,18.059,0.4356,"[10, 10, 10]",0.1,0.1,0.1
ris_optimized,30,500,24.082,4.615276,2.1483193431145193,4.010066666666667,120.302,24.162,36.1522,0.8054,"[10, 10, 10]",0.1,0.1,0.1
