method,seed_num,num_sims,E_activated_users,variance,std_deviation,avg_steps,total_steps,E_redemptions,comprehensive_score,usage_rate,random_dirichlet,degree_exponent_succ,degree_exponent_dis,degree_exponent_tran
random,10,500,7.256,1.9384640000000004,1.392287326667883,3.6853999999999996,36.854,7.262,10.9444,0.7262,"[10, 10, 10]",0.1,0.1,0.1
degreeTopM,10,500,7.622,1.815116,1.347262409480796,3.838,38.38,7.628,11.463000000000001,0.7628,"[10, 10, 10]",0.1,0.1,0.1
pageRank,10,500,7.69,1.8138999999999998,1.3468110483657312,3.8953999999999995,38.95399999999999,7.712,11.5964,0.7712,"[10, 10, 10]",0.1,0.1,0.1
alpha_sort,10,500,4.276,2.6878239999999995,1.6394584471708942,1.6985999999999999,16.985999999999997,4.28,5.9766,0.42800000000000005,"[10, 10, 10]",0.1,0.1,0.1
ris_optimized,10,500,8.026,1.7173239999999999,1.3104670922995356,4.0286,40.286,8.032,12.0576,0.8032,"[10, 10, 10]",0.1,0.1,0.1
